time,sdc
203476,136
203489,137
203501,136
203513,136
203527,136
203539,137
203551,138
203564,136
203576,137
203589,137
203601,136
203614,136
203626,137
203638,137
203651,137
203664,136
203676,244
203688,325
203701,352
203713,350
203726,144
203739,139
203751,137
203763,137
203776,136
203789,136
203801,136
203813,137
203826,136
203838,136
203850,136
203864,136
203876,136
203888,136
203900,136
203913,136
203926,137
203938,135
203951,135
203963,136
203975,136
203988,135
204001,135
204013,135
204025,135
204038,135
204050,135
204063,135
204076,135
204088,135
204100,135
204112,135
204126,135
204138,135
204150,135
204163,135
204175,135
204188,135
204200,135
204213,135
204225,135
204237,135
204250,265
204263,322
204275,343
204288,261
204300,140
204312,137
204325,135
204338,135
204350,135
204362,136
204375,135
204388,135
204400,135
204412,135
204425,135
204437,135
204449,136
204463,135
204475,135
204487,135
204499,135
204512,134
204525,135
204537,135
204550,135
204562,135
204574,135
204588,135
204600,136
204612,135
204624,135
204637,135
204649,135
204662,135
204675,135
204687,135
204699,135
204711,135
204725,136
204737,135
204749,135
204762,135
204774,187
204787,300
204800,333
204812,347
204824,150
204836,138
204849,136
204862,135
204874,135
204887,136
204899,135
204911,135
204924,135
204937,135
204949,135
204961,135
204974,135
204987,135
204999,135
205011,135
205024,135
205036,135
205048,136
205062,135
205074,135
205086,135
205099,134
205111,135
205124,135
205136,135
205149,135
205161,134
205173,135
205187,135
205199,135
205211,135
205223,135
205236,135
205248,135
205261,136
205274,135
205286,135
205298,135
205310,135
205324,135
205336,135
205348,226
205361,310
205373,337
205386,347
205399,144
205411,137
205423,136
205435,135
205448,136
205461,135
205473,137
205486,135
205498,135
205510,135
205523,136
205536,135
205548,135
205560,135
205573,135
205586,135
205598,135
205611,135
205623,135
205635,135
205647,135
205661,135
205673,135
205685,136
205698,134
205710,135
205723,135
205735,135
205748,135
205760,135
205772,135
205786,135
205798,135
205810,135
205822,135
205835,135
205847,135
205860,135
205873,135
205885,281
205897,327
205910,343
205923,178
205935,139
205947,136
205960,135
205972,135
205985,135
205998,135
206010,135
206022,135
206034,135
206047,135
206060,136
206072,135
206085,135
206097,135
206109,135
206123,135
206135,135
